course_id,club_id,course_name,holes,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AK-00001-01,USA-AK-00001,Anchorage,18,72,Parkland,Bill Newcomb,1987,Open,66,66,66,N/D,N/D,USD
USA-AK-00002-01,USA-AK-00002,Bear Valley,9,36,Parkland,Richard L Blackburn & Wayne Berry,1986,Open,16,16,16,N/D,N/D,USD
USA-AK-00003-01,USA-AK-00003,Birch Ridge,9,35,Parkland,Thomas R. Smith,1973,Open,19,20,19,N/D,N/D,USD
USA-AK-00003-02,USA-AK-00003,Birch Ridge (Alternate Tees),18,70,Parkland,Thomas R. Smith,1973,Open,29,30,29,N/D,N/D,USD
USA-AK-00004-01,USA-AK-00004,Chena Bend,18,72,Parkland,N/D,1942,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00005-01,USA-AK-00005,Eagleglen,18,72,Parkland,Robert Trent Jones Jr,1972,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00006-01,USA-AK-00006,Fairbanks,9,36,Parkland,N/D,1946,Open,23,23,20,N/D,N/D,USD
USA-AK-00006-02,USA-AK-00006,Fairbanks (Alternate Tees),18,72,Parkland,N/D,1946,Open,34,34,34,N/D,N/D,USD
USA-AK-00007-01,USA-AK-00007,Kenai,18,72,Parkland,D. Morgan/M. Davis/R. Collins,1986,Open,28,30,30,N/D,N/D,USD
USA-AK-00008-01,USA-AK-00008,Creek,18,72,Parkland,Robin Nelson,2000,Open,44,44,36,N/D,N/D,USD
USA-AK-00008-02,USA-AK-00008,Hill,18,72,Parkland,Army Corps of Engineers,1952,Open,45,45,36,N/D,N/D,USD
USA-AK-00009-01,USA-AK-00009,Mount Fairweather,18,72,Parkland,Moragan De Boer,1996,Open,15,15,15,N/D,N/D,USD
USA-AK-00010-01,USA-AK-00010,Muskeg Meadows,9,36,Parkland,Jerry Bakeberg,1998,Open,22,22,22,N/D,N/D,USD
USA-AK-00011-01,USA-AK-00011,North Star,18,72,Parkland,Jack Stallings & H.Roger Evans,1993,Open,34,34,34,N/D,N/D,USD
USA-AK-00012-01,USA-AK-00012,Palmer,18,72,Parkland,Iliad Corporation,1990,Open,38,38,38,N/D,N/D,USD
USA-AK-00013-01,USA-AK-00013,Settlers Bay,18,71,Parkland,N/D,1975,Open,36,47,30,N/D,N/D,USD
USA-AK-00014-01,USA-AK-00014,Tanglewood Lakes,9,27,Parkland,Bob Burnett,1996,Open,18,18,18,N/D,N/D,USD
